	metabolite	PNCA	PNCB	NADD-NaMN	NADE	SIRT	NAMPT	NADD-NMN	NT5-NaMN	NT5-NMN	NADR-NMN	PNP-NR	NADR-NaMN	PNP-NAR	NMN thermolysis	NaMN thermolysis	NAR thermolysis	NR thermolysis	NAD thermolysis	Summation Error	temperature
2253	NaAD	-0.948198412098278	inf	1.3837867809423643	-inf	1.383750753851034	-inf	inf		8.666015870924e-312	5e-324	0.0	7.4e-323	0.0	0.0		0.0	0.0	7.4e-323	7.4e-323	80.0
2254	NR	8.889260110440057e-06	inf	-0.0004647645436267	-inf	3.2229112211279825e-05	inf			0.0	8.666047156426e-312	0.0	0.0	9.1771525185649e+170	8.65774282714e-312	0.0	0.0	1.076626217248244e+277	0.0	6.9519498617786e-310	80.0
2255	NAR	-1.0097886608548732e-23	-inf	-3.601714472412661e-23	inf	-3.602912347425359e-23	-inf	-inf	inf	6.95194987284965e-310	0.0	8.666015872505e-312	0.0	6.3244936108728e-310	0.0	7.4e-323	0.0	8.66601587701e-312	1.6779197143673458e+243	0.0	80.0
2256	NAM	-0.0017694671548666	1.0469749487321642	-0.0058200049603619	1.0489599329515122	-0.00582005668333	1.0469747911592933	-0.0058091148842923	1.0531304667382375	0.0	0.0	9.503208099484655e-43	7.4e-323	0.0	7.4e-323	0.0	0.0	0.0	1.4403395576571117e+214	1.8044389576457636e+219	80.0
2257	NaMN	2.555435661876396e-06	2.426326014431928e-06	8.410145872516481e-06	-1.0013685706023985	8.410179875391474e-06	2.4263256281251777e-06	8.394409203729603e-06	2.4405911965645727e-06	-1.5210193859627263e-154	0.0	8.66524247132e-312	8.66601615092e-312	-1.868714373355657e-309	0.0	0.0	0.0	8.66601615677e-312	4.810551760417881e+228	6.384817655096139e+20	80.0
2258	NMN	1.092590416154593e-12	-2.38584136617761e-09	3.595758834340583e-12	-2.3167417954405922e-09	3.5958188553919644e-12	1.237376632190471e-13	3.588572848958037e-12	-2.3998687485215887e-09	6.95194987257613e-310	0.0	4.4e-323	0.0	8.666016153807e-312	0.0	0.0	2.1219957905e-314	0.0	9.279233746389736e+199	7.727819902446094e+228	80.0
2259		0.0017684453553279	-1.0469751265847096	0.0058200651044704	-1.0166479348906958	0.005820116827736	-1.0469749713977758	0.0058091749158668	-1.053130645636437	0.0	7.4e-323	7.4e-323	0.0	0.0	8.66617473627e-312	8.666125572075e-312	8.66607861086e-312	-4.45313712384364e-310	1.0635294425628266e-94	3.483440164960454e+228	80.0
2260	NAD	1.5817038977315538	0.1717471465139389	-0.5582389675638864	0.1720727659656015	-0.5582413161520494	0.171747121691555	-0.557194417944424	0.1727569057771136	0.0	0.0	6.95194986536514e-310	0.0	6.95194986538175e-310	0.0	0.0	0.0	7.2020768756615385e+252	8288597344216406.0	3978982.7926151054	80.0
2261	NaAD	-1.6463831186979023	-0.178770250936886	0.58107349259342	-0.1791091856572884	0.5810682877220213	-0.178770225099461	0.5799862161248112	-0.1798213013940833	8.66601615092e-312	5e-324	0.0	7.4e-323	0.0	0.0	6.95194986205886e-310	0.0	7.932538912301001e+68	3.819482591556362e+180	1.1415631926304748e+243	80.0
2262	NR	1.0439601149771593e-07	1.1335845967825712e-08	-6.940994073446366e-06	1.13573375933205e-08	6.560584571224186e-07	1.1335843048892485e-08	-6.928010482906735e-06	1.14025060121301e-08	0.0	8.66617473698e-312	0.0	0.0	0.0	8.65774282714e-312	0.0	0.0	1.0766265412448132e+277	2654876.714460901	9.040504396019611e+223	80.0
2263	NAR	-5.467980314405525e-05	-6.666119639904667e-06	-0.0001799555146764	0.3396112188859374	-0.000179956243467	-6.666118299619847e-06	-0.0001796187906232	1.0059655244705166	6.95194987259036e-310	0.0	8.6660161525e-312	0.0	6.3244936108728e-310	0.0	7.4e-323	0.0	2.3164910662874864e-152	1.6779200365728925e+243	9.750238216029356e+199	80.0
2264	NAM	-2.512487909300085e-11	inf	3.6170684838365067e-17	inf	1.76896701757613e-16	inf	3.597104445944345e-17	inf	0.0	0.0	8.665943526354e-312	0.0	0.0	8.66601714514e-312	9.1771525185649e+170	8.666019748905e-312	0.0	7.4e-323	4e-323	80.0
2265	NaMN	-7.904044114731293e-24		-3.961068344258606e-24	-inf	-3.961058088243852e-24		-3.939205639758455e-24		-4.0200329228339e-310	0.0	0.0	0.0	7.4e-323	0.0	5e-322	0.0	7.4e-323	8.66622162294e-312	1.5e-323	80.0
2266	NMN	-1.3672715250512752e-30	-inf	-6.852009577041761e-31	-inf	-6.851994030078113e-31		-6.8141763721042235e-31	-inf	2.152949024863e-312	0.0	0.0	8.66601714751e-312	9.1771525185649e+170	8.666017143005e-312	0.0	8.66514398664e-312	8.665988545853e-312	-1.74378364686581e-309	6.228022460078263e-38	80.0
2267		-1.8524012010402e-20	-inf	-9.283206993217834e-21	-inf	-9.283182957752755e-21	-inf	-9.231969285941463e-21	-inf	0.0	0.0	7.4e-323	0.0	5e-322	0.0	7.4e-323	0.0	-1.5189822359260868e-154	6.9519498617786e-310	2.4e-322	80.0
2268	NAD	3.631884720621919e-06	inf	-5.920212206572928e-12	inf	-2.6262631287392128e-11	inf	-5.887536203519677e-12	inf	0.0	8.66601724071e-312	9.1771525185649e+170	8.666017137313e-312	0.0	8.664796272486e-312	8.665874331156e-312	-1.73835134217516e-309	6.9519498727627e-310	0.0	4.4e-323	80.0
2269	NaAD	-1.0030683406170535	-inf	6.742581442222138e-06	-inf	6.74256398395008e-06	-inf	6.705366456659924e-06	-inf	7.4e-323	0.0	5e-322	0.0	7.4e-323	0.0	0.0	6.9519498617786e-310	0.0	7.4e-323	7.4e-323	80.0
2270	NR	3.723638796495216e-08	inf	-4.224636522700125e-06	inf	4.224653733961267e-07	inf	-4.201319075436771e-06	inf	9.1771525185649e+170	8.666017240237e-312	0.0	8.664796272447e-312	0.0	-1.73291903748236e-309	0.0	0.0	0.0	0.0	6.95194986536514e-310	80.0
2271	NAR	7.15359658236236e-27	-inf	3.5849856814682185e-27	inf	3.584976399430257e-27	-inf	3.5651987213113404e-27	inf	8.66598848572e-312	0.0	7.4e-323	0.0	0.0	6.9519498617786e-310	0.0	0.0	8.666016120487e-312	5e-324	0.0	80.0
2272	NAM	-3.54902236488868e-10	inf	-2.912783088593309e-12	inf	-2.9092079933508096e-12	inf	-inf	inf	0.0	0.0	1.916612990205025e-76	7.4e-323	0.0	7.4e-323	0.0	0.0	0.0	7.4e-323	3.5e-323	80.0
2273	NaMN	5.947760328141628e-12	inf	2.929656979425561e-12	-inf	2.929643339298942e-12	inf	inf	inf	-1.521895681705211e-154	8.40735241e-315	2.57e-322	8.66601616918e-312	8.65774282714e-312	0.0	0.0	0.0	8.665825061507e-312	8.66622162294e-312	-1.955631320953654e-309	80.0
2274	NMN	6.340214823123505e-15	-inf	3.122966223013557e-15	-inf	3.1229516828643e-15	inf	inf	-inf	6.95194987138207e-310	0.0	4.4e-323	0.0	8.666016172067e-312	1.379297264127e-312	0.0	2.1219957905e-314	0.0	0.0	6.228022460078263e-38	80.0
